Pos,2P,FT,TRB,AST,STL,PTS
C,0.58 ,0.7 ,7 ,3 ,1 ,22 
C,0.47 ,0.8 ,4 ,3 ,1 ,10 
SF,0.53 ,0.7 ,6 ,4 ,1 ,30 
SG,0.47 ,0.8 ,1 ,2 ,1 ,5 
SF,0.43 ,0.4 ,1 ,0 ,0 ,3 
PF,0.44 ,0.8 ,5 ,2 ,1 ,9 
PG,0.51 ,0.6 ,1 ,2 ,0 ,7 
SF,0.46 ,,0 ,0 ,0 ,2 
PG,0.43 ,0.8 ,2 ,4 ,1 ,9 
PF,0.49 ,0.7 ,4 ,1 ,0 ,9 
PF,0.51 ,0.8 ,6 ,2 ,0 ,9 
SF,0.49 ,0.8 ,6 ,4 ,1 ,15 
PF,0.57 ,0.7 ,7 ,3 ,1 ,13 
C,0.50 ,,0 ,0 ,0 ,3 
C,0.55 ,0.8 ,5 ,2 ,1 ,7 
PF,0.50 ,0.9 ,10 ,7 ,2 ,24 
SG,0.51 ,0.6 ,2 ,3 ,1 ,20 
SG,0.55 ,0.8 ,5 ,4 ,1 ,22 
PF,0.53 ,0.8 ,1 ,0 ,0 ,2 
SG,0.43 ,0.7 ,0 ,0 ,0 ,1 
PG,0.42 ,0.9 ,2 ,3 ,1 ,7 
C,0.38 ,0.7 ,1 ,0 ,0 ,3 
SG,0.45 ,0.8 ,1 ,1 ,0 ,8 
SG,0.47 ,0.6 ,0 ,0 ,0 ,5 
SG,0.45 ,0.8 ,1 ,1 ,0 ,9 
SF,0.47 ,0.8 ,4 ,3 ,1 ,15 
SF,0.48 ,0.7 ,4 ,1 ,1 ,11 
SG,0.53 ,0.9 ,1 ,2 ,1 ,9 
C,0.47 ,0.7 ,2 ,0 ,0 ,4 
C,0.39 ,0.4 ,1 ,0 ,0 ,4 
PG,0.44 ,0.6 ,2 ,3 ,1 ,4 
PG,0.45 ,0.8 ,1 ,4 ,1 ,5 
PF,0.56 ,0.7 ,8 ,2 ,1 ,16 
SF,0.43 ,0.9 ,1 ,1 ,0 ,3 
